question_id,question_text,condition,option_id,option_text,effect_target,effect_key,effect_value,effect_branch,check_type,check_items,check_hit_threshold,check_required_hits,outcome_text,outcome_branch
q_background,药铺的门板每天早上卸下来，晚上装回去。|跑腿的路从东街到河埠头。活计不重，但天天都有。|算起来，也好几年了。,,bg_artisan,匠人,attribute,craft,+2,default,assessment,craft:positive,6,1,何守仁不是爱夸人的性子。只是近来交代的活越来越细了。,default
q_background,药铺的门板每天早上卸下来，晚上装回去。|跑腿的路从东街到河埠头。活计不重，但天天都有。|算起来，也好几年了。,,bg_artisan,匠人,attribute,aptitude,-1,default,,,,,,
q_background,药铺的门板每天早上卸下来，晚上装回去。|跑腿的路从东街到河埠头。活计不重，但天天都有。|算起来，也好几年了。,,bg_artisan,匠人,attribute,craft,+1,success,,,,,,
q_background,药铺的门板每天早上卸下来，晚上装回去。|跑腿的路从东街到河埠头。活计不重，但天天都有。|算起来，也好几年了。,,bg_scholar,学者,attribute,insight,+2,default,assessment,insight:positive,6,1,书读多了，看什么都觉得有道理，又觉得哪里不对。,default
q_background,药铺的门板每天早上卸下来，晚上装回去。|跑腿的路从东街到河埠头。活计不重，但天天都有。|算起来，也好几年了。,,bg_scholar,学者,attribute,craft,-1,default,,,,,,
q_background,药铺的门板每天早上卸下来，晚上装回去。|跑腿的路从东街到河埠头。活计不重，但天天都有。|算起来，也好几年了。,,bg_scholar,学者,attribute,insight,+1,success,,,,,,
q_background,药铺的门板每天早上卸下来，晚上装回去。|跑腿的路从东街到河埠头。活计不重，但天天都有。|算起来，也好几年了。,,bg_drifter,游侠,attribute,aptitude,+2,default,assessment,physique:positive,6,1,走过的路比说过的话多。脚底的茧比手上的厚。,default
q_background,药铺的门板每天早上卸下来，晚上装回去。|跑腿的路从东街到河埠头。活计不重，但天天都有。|算起来，也好几年了。,,bg_drifter,游侠,attribute,insight,-1,default,,,,,,
q_background,药铺的门板每天早上卸下来，晚上装回去。|跑腿的路从东街到河埠头。活计不重，但天天都有。|算起来，也好几年了。,,bg_drifter,游侠,attribute,physique,+1,success,,,,,,
q_temperament,你是怎样的人？,,tmp_cautious,谨慎稳重,attribute,xinxing,+1,default,,,,,,
q_temperament,你是怎样的人？,,tmp_gambler,放手一搏,attribute,xinxing,-1,default,,,,,,
q_relation,你和镇上的人……,,rel_friendly,相处融洽,affinity_all,_to_all_npc,+10,default,,,,,,
q_relation,你和镇上的人……,,rel_stranger,素不相识,affinity_all,_to_all_npc,-5,default,,,,,,
