option_id,branch,seq,text
evt_s2_sk_he_opt_1,success,1,你拿起那株药看了一会，说出名字。柜后人嗯了一声，没多说，把这味药放回去。回过头来，他冲你点了点头。
evt_s2_sk_he_opt_1,success,2,你退回到柜后做事，手心还残着方才药材的气味——他什么都没说，但你知道他记下了。
evt_s2_sk_he_opt_1,fail,1,你拿起那株药看了一会，犹豫片刻，说了一个名字。柜后人没说对错，只是把那味药接了回去，重新摆好。
evt_s2_sk_he_opt_1,fail,2,你退回到柜后做事，手里还在想方才那株药的样子。他没说话——你说不清是不是错了。
evt_s2_sk_he_opt_2,default,1,你站在柜台边上看了一会。柜后人翻看药材的速度慢得很，每一味药都要翻看一遍才放回去。
evt_s2_sk_he_opt_2,default,2,等他终于抬头时，你已经在不知不觉里跟着记下了几样的样子。
evt_s2_sk_he_opt_3,default,1,你转身去整理药斗里几样常用的药，柜后人始终没抬头。等你忙完出去时，他还在那里慢慢摆弄那一味药。
evt_s2_sk_qin_opt_1,default,1,[outcome·家+市场·首遇·搭话·屏1] 你帮母亲收拾，秦素娘嘴上没夸但眼神柔下来（关系+2）
evt_s2_sk_qin_opt_1,default,2,[outcome·家+市场·首遇·搭话·屏2] 灶火噼啪一声，她转身去添柴——你看见她肩膀松了一点
evt_s2_sk_qin_opt_2,default,1,[outcome·家+市场·首遇·点头·屏1] 你应了一声便回房，秦素娘看你一眼没说话（关系+1）
evt_s2_sk_qin_opt_2,default,2,[outcome·家+市场·首遇·点头·屏2] 屋里灯还亮着，你听见母亲在外间又坐了好一会
evt_s2_sk_qin_opt_3,default,1,[outcome·家+市场·首遇·避开·屏1] 你装没看见从旁边过去，秦素娘叹了口气（关系+0）
evt_s2_sk_qin_opt_3,default,2,[outcome·家+市场·首遇·避开·屏2] 你回屋后听见她在外间洗碗，水声比平日重些
evt_s2_sk_qin_opt_4,success,1,[outcome·家+市场·首遇·用心·成功·屏1·TODO属性] 你用心准备了一道菜，秦素娘尝了一口手停了一下（关系+2）
evt_s2_sk_qin_opt_4,success,2,[outcome·家+市场·首遇·用心·成功·屏2·TODO属性] 她没夸你，但晚饭桌上多放了一双筷子的位置——这是她平日里不会做的小事
evt_s2_sk_qin_opt_4,fail,1,[outcome·家+市场·首遇·用心·失败·屏1·TODO属性] 你想做得更好却出了岔子，秦素娘没说什么默默接过来（关系+1，难为情）
evt_s2_sk_qin_opt_4,fail,2,[outcome·家+市场·首遇·用心·失败·屏2·TODO属性] 你坐回桌边，看母亲手里那道菜——你想她大概比你更懂这个家的温度
evt_s2_sk_zhou_opt_1,success,1,[outcome·练场·首遇·成功·屏1] 周既明扫你一眼，问你练过几年（关系+2）
evt_s2_sk_zhou_opt_1,success,2,[outcome·练场·首遇·成功·屏2] 你含糊答了几句他便没追问——但他记下了你站姿里的那点东西
evt_s2_sk_zhou_opt_1,fail,1,[outcome·练场·首遇·失败·屏1] 你架势露怯，周既明只笑了一下没接话（关系+1，尴尬）
evt_s2_sk_zhou_opt_1,fail,2,[outcome·练场·首遇·失败·屏2] 走出练场你才意识到——他那一笑里没有讥嘲，只有了然
evt_s2_sk_zhou_opt_2,default,1,[outcome·练场·首遇·远观·屏1] 你远远看几招就走，周既明没回头（关系+1）
evt_s2_sk_zhou_opt_2,default,2,[outcome·练场·首遇·远观·屏2] 你回去的路上反复想那个收势的角度——比镇上拳师练的要稳
evt_s2_sk_zhou_opt_3,default,1,[outcome·练场·首遇·避开·屏1] 你不愿引人注意，悄悄绕开（关系+0）
evt_s2_sk_zhou_opt_3,default,2,[outcome·练场·首遇·避开·屏2] 你走得快了些，怕被人叫住——其实没人会叫住你
evt_s2_sk_cheng_opt_1,success,1,[outcome·道观·首遇·成功·屏1] 程叔衡问你今日所见，听完后不动声色地颔首（关系+2）
evt_s2_sk_cheng_opt_1,success,2,[outcome·道观·首遇·成功·屏2] 你下山时他还坐在原处——一动未动，仿佛你方才说的话从未发生
evt_s2_sk_cheng_opt_1,fail,1,[outcome·道观·首遇·失败·屏1] 你词不达意，程叔衡只看了你一眼便闭目（关系+1，尴尬）
evt_s2_sk_cheng_opt_1,fail,2,[outcome·道观·首遇·失败·屏2] 你走出殿门时，那一眼还压在心头——既不是斥责也不是宽容，难辨
evt_s2_sk_cheng_opt_2,default,1,[outcome·道观·首遇·静观·屏1] 你远远看一会便离开，程叔衡始终未睁眼（关系+1）
evt_s2_sk_cheng_opt_2,default,2,[outcome·道观·首遇·静观·屏2] 山道上松风不止，你才发觉自己屏息了大半个时辰
evt_s2_sk_cheng_opt_3,default,1,[outcome·道观·首遇·离开·屏1] 你不打扰转身离去，殿内静默如常（关系+0）
evt_s2_sk_cheng_opt_3,default,2,[outcome·道观·首遇·离开·屏2] 你下山一路无人——也许该再来一次，也许不必
evt_s2_fl_pharmacy_1_opt_1,default,1,你一味一味把药挑出来，秤了又秤，包成一包递过去。客人接过药，付了钱，转身出门。
evt_s2_fl_pharmacy_1_opt_1,default,2,你把方子放回到柜后，手心里还带着方才几味药的气味——有几个药名你这次记住了。
evt_s2_fl_pharmacy_1_opt_2,default,1,老伙计抽空过来瞄了眼方子，几味你不认得的药他直接帮你挑了出来。剩下的你抓完，递给客人。
evt_s2_fl_pharmacy_1_opt_3,default,1,你按方子上几味自己认得的药抓了一份，凑齐递过去。客人接过药就走，没多说什么。
evt_s2_fl_pharmacy_2_opt_1,default,1,你放慢了力道，一下一下地碾过去，细粉一点点积在臼底。药材的气味随着碾压漫出来，你辨得出其中两三味。
evt_s2_fl_pharmacy_2_opt_1,default,2,磨完抬头，雨还在落，老伙计的眼皮也没动。今日的工就这些了。
evt_s2_fl_pharmacy_2_opt_2,default,1,老伙计被你的声音惊了一下，随即应了几声，提到今年的雨比往年来得早。两人断断续续说了些没营养的话，倒也不觉得时间长了。
evt_s2_fl_pharmacy_2_opt_3,default,1,背靠着柜子坐下去，雨声里不知过了多久，你动了一下腿才发现醒了。老伙计那头也没动静——不知他是不是也睡了一觉。
evt_s2_fl_pharmacy_3_opt_1,default,1,你取了几味药包起来，报了价。客人接过去，数钱放在柜台上，转身出门。
evt_s2_fl_pharmacy_3_opt_1,default,2,老伙计从后面出来，瞥了眼柜台，没说什么，转身去搬下一批货。
evt_s2_fl_pharmacy_3_opt_2,default,1,你问了几句，客人一一答了，说起来比最初说的要多一些。你听完，重新在药架上取了两味。
evt_s2_fl_pharmacy_3_opt_2,default,2,客人接过药，掂了掂，道了声谢，走慢了些出去。
evt_s2_fl_pharmacy_3_opt_3,default,1,老伙计过来，听了几句，回身从药架上取了几味，替你把药包递过去。客人付完钱走了。
evt_s2_fl_pharmacy_4_opt_1,default,1,你把书拿起来，又翻了几页。有几个字眼你不认得，有几个认得但不晓得放在一起是什么意思。看了一阵，还是没看懂。
evt_s2_fl_pharmacy_4_opt_1,default,2,你把书塞回原来的缝隙里。往后手里做着别的，脑子里还挂着那几个字——就是说不出它们在讲什么。
evt_s2_fl_pharmacy_4_opt_2,default,1,你把书推回缝隙里，没多看。手上继续整理药材，日光往西挪了一截。
evt_s2_fl_pharmacy_4_opt_3,default,1,你把书搁在一边，转回去整理药材。一筐一筐理完，码好，做完了该做的事，拿到了这一日的工钱。
evt_s2_fl_pharmacy_5_opt_1,default,1,你挨着账册上的顺序拣，不认得的名目多比对几次，总算把这批货一包包归到位。
evt_s2_fl_pharmacy_5_opt_1,default,2,几个之前没见过的名目，经这一趟，你在包皮上认出来了。
evt_s2_fl_pharmacy_5_opt_2,default,1,老伙计在前头分，你跟着节奏拣，不认识的包他顺手归了位，你留意了名目。
evt_s2_fl_pharmacy_5_opt_3,default,1,你按大致的位置把药材包搬进去，摞齐。老伙计扫了一眼，没说什么，低头继续对账。
evt_s2_fl_pharmacy_6_opt_1,default,1,你把几件零碎一项一项收好。老伙计锁完最后几个格子，瞄了你一眼，把备用的那盏灯推到你这边来。
evt_s2_fl_pharmacy_6_opt_1,default,2,等你出门时，街上只剩几盏灯笼。药铺的门从里面锁上，钥匙重了一把。
evt_s2_fl_pharmacy_6_opt_2,default,1,你收拾完自己那摊子，拎上外套走出铺子。外边天色还没全黑，街上还有几个行人。
evt_s2_fl_pharmacy_6_opt_3,default,1,老伙计收格子，你在柜台另一头顺口说了几句，他也接着说了几句，说的都是些不紧要的事。说完了各自走。
evt_s2_fl_qin_1_opt_1,default,1,[outcome·家+市场·1·主动·屏1] 你帮秦素娘烧火，灶前热得脸红（与秦关系+1）
evt_s2_fl_qin_1_opt_1,default,2,[outcome·家+市场·1·主动·屏2] 饭桌上她多盛了你一勺——没说什么，碗推得近些
evt_s2_fl_qin_1_opt_2,default,1,[outcome·家+市场·1·旁观·屏1] 你站在灶旁发呆，没去搭手（无变化）
evt_s2_fl_qin_1_opt_2,default,2,[outcome·家+市场·1·旁观·屏2] 母亲忙完转身看你一眼，又转回去——你想说点什么但终究没出口
evt_s2_fl_qin_2_opt_1,default,1,[outcome·家+市场·2·砍价·屏1] 你试着讲价，摊主嘴硬最后让了几文（学识+1）
evt_s2_fl_qin_2_opt_1,default,2,[outcome·家+市场·2·砍价·屏2] 回家路上你心里盘算——这几文够买半块饴糖，也够给母亲带一根针线
evt_s2_fl_qin_2_opt_2,default,1,[outcome·家+市场·2·原价·屏1] 你老老实实付了钱（无变化）
evt_s2_fl_qin_2_opt_2,default,2,[outcome·家+市场·2·原价·屏2] 走回时你才想起隔壁摊位便宜两文——下次再说
evt_s2_fl_qin_3_opt_1,default,1,[outcome·家+市场·3·应承·屏1] 你应了母亲的叮嘱，她的眉头舒展（与秦关系+1）
evt_s2_fl_qin_3_opt_1,default,2,[outcome·家+市场·3·应承·屏2] 你回房时她在外间灯下做针线——灯花跳了两下，她没再说话
evt_s2_fl_qin_3_opt_2,default,1,[outcome·家+市场·3·沉默·屏1] 你没接话，母亲也没追问（无变化）
evt_s2_fl_qin_3_opt_2,default,2,[outcome·家+市场·3·沉默·屏2] 那一夜你听见她在外间坐了很久才熄灯
evt_s2_fl_train_1_opt_1,default,1,[outcome·练场·1·走近·屏1] 你凑过去看队列变换，记住几个手势（学识+1）
evt_s2_fl_train_1_opt_1,default,2,[outcome·练场·1·走近·屏2] 走开时教头并未喝止——你想是因为你看得太专心
evt_s2_fl_train_1_opt_2,default,1,[outcome·练场·1·绕开·屏1] 你装没看见从场边走过（无变化）
evt_s2_fl_train_1_opt_2,default,2,[outcome·练场·1·绕开·屏2] 拐过墙角你才回头看了一眼——队列还在变换
evt_s2_fl_train_2_opt_1,default,1,[outcome·练场·2·坚持·屏1] 你跑完三圈，腿肚子发紧但脚下稳了（体魄+1）
evt_s2_fl_train_2_opt_1,default,2,[outcome·练场·2·坚持·屏2] 你扶着场边的木桩喘气——比第一圈想放弃时好得多
evt_s2_fl_train_2_opt_2,default,1,[outcome·练场·2·偷停·屏1] 你跑两圈就借故停了下来（无变化）
evt_s2_fl_train_2_opt_2,default,2,[outcome·练场·2·偷停·屏2] 你坐在场边看别人继续跑——胸口的闷气没散
evt_s2_fl_train_3_opt_1,default,1,[outcome·练场·3·尝试·屏1] 你上手打了几下沙袋，掌心发麻（体魄+1）
evt_s2_fl_train_3_opt_1,default,2,[outcome·练场·3·尝试·屏2] 收手后你看着自己的拳——红了一片，但比上次有数得多
evt_s2_fl_train_3_opt_2,default,1,[outcome·练场·3·观望·屏1] 你站在边上看别人打（无变化）
evt_s2_fl_train_3_opt_2,default,2,[outcome·练场·3·观望·屏2] 你看了一会便走——回去的路上手心还在出汗
evt_s2_fl_dao_1_opt_1,default,1,[outcome·道观·1·静听·屏1] 你闭目听钟声，胸口的烦躁慢慢沉下去（学识+1）
evt_s2_fl_dao_1_opt_1,default,2,[outcome·道观·1·静听·屏2] 钟声散尽你才睁眼——周身的声响多得像第一次听见
evt_s2_fl_dao_1_opt_2,default,1,[outcome·道观·1·路过·屏1] 你听了一下钟声便走（无变化）
evt_s2_fl_dao_1_opt_2,default,2,[outcome·道观·1·路过·屏2] 下山时钟声仍在身后——你没回头
evt_s2_fl_dao_2_opt_1,default,1,[outcome·道观·2·搭话·屏1] 你与扫地的老者闲聊几句，他说的话你似懂非懂（学识+1）
evt_s2_fl_dao_2_opt_1,default,2,[outcome·道观·2·搭话·屏2] 老者扫完地不再看你——但有一句话你记住了，回去的路上一直翻
evt_s2_fl_dao_2_opt_2,default,1,[outcome·道观·2·点头·屏1] 你礼貌点头便从老者身边走过（无变化）
evt_s2_fl_dao_2_opt_2,default,2,[outcome·道观·2·点头·屏2] 你走出几步回头看了一眼——他在扫的是同一片落叶
evt_s2_fl_dao_3_opt_1,default,1,[outcome·道观·3·驻足·屏1] 你看那架势良久，记下几个收势的位置（学识+1）
evt_s2_fl_dao_3_opt_1,default,2,[outcome·道观·3·驻足·屏2] 那人收手时朝你点了下头——你不知道是不是看到了你
evt_s2_fl_dao_3_opt_2,default,1,[outcome·道观·3·离开·屏1] 你不深究转身走出殿外（无变化）
evt_s2_fl_dao_3_opt_2,default,2,[outcome·道观·3·离开·屏2] 殿外阳光刺眼——你想起方才那架势，但说不出哪里特别
evt_s3_chain_entry_opt_1,default,1,[outcome·拜师·屏1·屏1] 母亲塞给你一袋干粮便催你出门（chain stage 推进）
evt_s3_chain_entry_opt_1,default,2,[outcome·拜师·屏1·屏2] 你回头一看，她已转身收拾——这是她不愿你看见的样子
evt_s3_chain_2_opt_1,default,1,[outcome·拜师·屏2·屏1] 集体面试结束，师傅未当场点名（chain stage 推进）
evt_s3_chain_2_opt_1,default,2,[outcome·拜师·屏2·屏2] 候在堂前的少年陆续散去，你不知道自己算被记住还是没有
evt_s3_chain_3_opt_1,default,1,[outcome·拜师·屏3·屏1] 你与陆默立片刻，他没问你名字（陆首登 unique flag 设置）
evt_s3_chain_3_opt_1,default,2,[outcome·拜师·屏3·屏2] 你走出门时他还坐在原处——目光落在你刚才站的地方，停了片刻才移开
evt_s3_chain_4_opt_1,default,1,[outcome·拜师·屏4·屏1] 你随队列收势，第一次训练就此告一段落（chain 退出）
evt_s3_chain_4_opt_1,default,2,[outcome·拜师·屏4·屏2] 你走出场地时回头看了一眼——明日还要再来，但今日的疲惫是你从未有过的
